source_file,experiment_id,architecture,communication_mode,source,started_at,stopped_at,interval_ms,duration_seconds,expected_messages,received_messages,missing_messages,sequence_gap_messages,throughput_percent,messages_per_second,estimated_latency_avg_ms,estimated_latency_min_ms,estimated_latency_max_ms,estimated_latency_std_ms,estimated_latency_p95_ms,uncertainty_avg_ms,uncertainty_p95_ms,uncertainty_max_ms,invalid_messages,application_version,replication_number,environment,saturation_indicators,saturation_status
backend-node_websocket_wifi-http_1000ms_rep3_2026-06-04T13-57-42-892Z_campaign-summary.csv,exp-2026-06-04T13-56-42-883Z,backend-node,websocket,wifi-http,2026-06-04T13:56:42.883Z,2026-06-04T13:57:42.888Z,1000,60,60,62,0,0,103.333,1.033,45.541,4.243,170.161,43.193,127.709,0.288,0.288,0.288,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:56:42.883Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=1000; campaignType=official,,
backend-node_websocket_wifi-http_100ms_rep1_2026-06-04T13-48-39-923Z_campaign-summary.csv,exp-2026-06-04T13-47-39-912Z,backend-node,websocket,wifi-http,2026-06-04T13:47:39.912Z,2026-06-04T13:48:39.915Z,100,60,600,513,87,0,85.5,8.55,35.127,0.702,308.155,41.44,125.481,0.329,0.329,0.329,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:47:39.912Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=100; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_100ms_rep2_2026-06-04T13-54-41-892Z_campaign-summary.csv,exp-2026-06-04T13-53-41-878Z,backend-node,websocket,wifi-http,2026-06-04T13:53:41.878Z,2026-06-04T13:54:41.883Z,100,60,600,570,30,0,95,9.499,27.636,1.208,210.529,25.027,54.982,0.283,0.283,0.283,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:53:41.878Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=100; campaignType=official,message_loss_detected,A partir de 100 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_100ms_rep3_2026-06-04T14-00-43-875Z_campaign-summary.csv,exp-2026-06-04T13-59-43-862Z,backend-node,websocket,wifi-http,2026-06-04T13:59:43.862Z,2026-06-04T14:00:43.866Z,100,60,600,556,44,0,92.667,9.266,31.957,3.361,230.778,31.612,79.018,0.283,0.283,0.283,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:59:43.863Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=100; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_200ms_rep1_2026-06-04T13-47-39-606Z_campaign-summary.csv,exp-2026-06-04T13-46-39-597Z,backend-node,websocket,wifi-http,2026-06-04T13:46:39.597Z,2026-06-04T13:47:39.600Z,200,60,300,290,10,0,96.667,4.833,46.89,0.113,274.961,52.736,147.321,0.34,0.34,0.34,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:46:39.597Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=200; campaignType=official,message_loss_detected,A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_200ms_rep2_2026-06-04T13-53-41-572Z_campaign-summary.csv,exp-2026-06-04T13-52-41-556Z,backend-node,websocket,wifi-http,2026-06-04T13:52:41.556Z,2026-06-04T13:53:41.566Z,200,60,300,296,4,0,98.667,4.933,41.024,2.038,199.519,44.505,125.431,0.301,0.301,0.301,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:52:41.556Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=200; campaignType=official,message_loss_detected,A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_200ms_rep3_2026-06-04T13-59-43-558Z_campaign-summary.csv,exp-2026-06-04T13-58-43-538Z,backend-node,websocket,wifi-http,2026-06-04T13:58:43.538Z,2026-06-04T13:59:43.552Z,200,60,300,295,5,0,98.333,4.916,42.448,3.205,175.893,41.918,124.04,0.278,0.278,0.278,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:58:43.538Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=200; campaignType=official,message_loss_detected,A partir de 200 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_20ms_rep1_2026-06-04T13-50-40-590Z_campaign-summary.csv,exp-2026-06-04T13-49-40-576Z,backend-node,websocket,wifi-http,2026-06-04T13:49:40.576Z,2026-06-04T13:50:40.579Z,20,60,3000,687,2313,0,22.9,11.449,28.121,0,131.445,32.127,95.071,0.312,0.312,0.312,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:49:40.576Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=20; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 20 ms o throughput caiu abaixo de 95%. | A partir de 20 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_20ms_rep2_2026-06-04T13-56-42-568Z_campaign-summary.csv,exp-2026-06-04T13-55-42-552Z,backend-node,websocket,wifi-http,2026-06-04T13:55:42.552Z,2026-06-04T13:56:42.558Z,20,60,3000,643,2357,0,21.433,10.716,36.474,2.858,253.773,39.46,122.78,0.28,0.28,0.28,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:55:42.552Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=20; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 20 ms o throughput caiu abaixo de 95%. | A partir de 20 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_20ms_rep3_2026-06-04T14-02-44-553Z_campaign-summary.csv,exp-2026-06-04T14-01-44-531Z,backend-node,websocket,wifi-http,2026-06-04T14:01:44.531Z,2026-06-04T14:02:44.544Z,20,60,3000,664,2336,0,22.133,11.064,35.391,5.014,179.96,33.314,99.243,0.279,0.279,0.279,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:01:44.531Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=20; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 20 ms o throughput caiu abaixo de 95%. | A partir de 20 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_500ms_rep1_2026-06-04T13-46-39-290Z_campaign-summary.csv,exp-2026-06-04T13-45-39-276Z,backend-node,websocket,wifi-http,2026-06-04T13:45:39.276Z,2026-06-04T13:46:39.286Z,500,60,120,114,6,0,95,1.9,49.705,0.75,237.765,52.953,139.24,0.427,0.427,0.427,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:45:39.276Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=500; campaignType=official,message_loss_detected,A partir de 500 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_500ms_rep2_2026-06-04T13-52-41-248Z_campaign-summary.csv,exp-2026-06-04T13-51-41-232Z,backend-node,websocket,wifi-http,2026-06-04T13:51:41.232Z,2026-06-04T13:52:41.243Z,500,60,120,119,1,0,99.167,1.983,55.444,2.917,256.588,59.35,177.39,0.305,0.305,0.305,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:51:41.232Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=500; campaignType=official,message_loss_detected,A partir de 500 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_500ms_rep3_2026-06-04T13-58-43-228Z_campaign-summary.csv,exp-2026-06-04T13-57-43-199Z,backend-node,websocket,wifi-http,2026-06-04T13:57:43.199Z,2026-06-04T13:58:43.212Z,500,60,120,118,2,0,98.333,1.966,49.459,6.232,144.836,42.279,126.087,0.275,0.275,0.275,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:57:43.199Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=500; campaignType=official,message_loss_detected,A partir de 500 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_50ms_rep1_2026-06-04T13-49-40-257Z_campaign-summary.csv,exp-2026-06-04T13-48-40-243Z,backend-node,websocket,wifi-http,2026-06-04T13:48:40.243Z,2026-06-04T13:49:40.247Z,50,60,1200,674,526,0,56.167,11.233,28.508,0,153.047,31.842,92.968,0.336,0.336,0.336,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:48:40.243Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=50; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 50 ms o throughput caiu abaixo de 95%. | A partir de 50 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_50ms_rep2_2026-06-04T13-55-42-237Z_campaign-summary.csv,exp-2026-06-04T13-54-42-210Z,backend-node,websocket,wifi-http,2026-06-04T13:54:42.210Z,2026-06-04T13:55:42.227Z,50,60,1200,656,544,0,54.667,10.93,33.08,1.453,240.399,36.335,114.377,0.285,0.285,0.285,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T13:54:42.211Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=50; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 50 ms o throughput caiu abaixo de 95%. | A partir de 50 ms foram detectadas perdas de mensagens.
backend-node_websocket_wifi-http_50ms_rep3_2026-06-04T14-01-44-214Z_campaign-summary.csv,exp-2026-06-04T14-00-44-190Z,backend-node,websocket,wifi-http,2026-06-04T14:00:44.190Z,2026-06-04T14:01:44.205Z,50,60,1200,653,547,0,54.417,10.881,36.007,4.001,177.379,34.257,108.317,0.268,0.268,0.268,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:00:44.191Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=websocket; source=wifi-http; intervalMs=50; campaignType=official,throughput_below_95 | message_loss_detected,A partir de 50 ms o throughput caiu abaixo de 95%. | A partir de 50 ms foram detectadas perdas de mensagens.
mqtt_websocket_wifi-http_1000ms_rep1_2026-06-04T14-21-55-037Z_campaign-summary.csv,exp-2026-06-04T14-20-55-025Z,mqtt,websocket,wifi-http,2026-06-04T14:20:55.025Z,2026-06-04T14:21:55.033Z,1000,60,60,118,0,0,196.667,1.966,0.959,0,16.459,2.927,9.954,0.354,0.354,0.354,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-06-04T14:20:55.025Z; runner=automated-orchestrator; architecture=mqtt; communicationMode=websocket; source=wifi-http; intervalMs=1000; campaignType=official,,
