file,mode,interval_ms,client_count,replication,duration_seconds,expected_messages_per_client,messages_total_across_clients,throughput_aggregate_msgps,throughput_avg_per_client_msgps,throughput_std_per_client_msgps,fairness_cv,latency_avg_mean_across_clients_ms,latency_p95_worst_client_ms,cpu_avg_percent,cpu_p95_percent,cpu_max_percent,mem_rss_avg_mb,mem_rss_max_mb,mem_heap_used_avg_mb,latency_method,sync_failed
rest-polling_10ms_20cli_rep3_2026-05-31T06-27-17-370Z_scalability-clients_aggregate.json,rest-polling,10,20,3,60,6000,76838,1280.63,64.031,0.009,0.0001,11.164,17.126,61.203,119.232,134.703,111.079,111.668,23.507,ntp_style_clock_synchronization,false
rest-polling_10ms_2cli_rep1_2026-05-31T06-15-47-427Z_scalability-clients_aggregate.json,rest-polling,10,2,1,60,6000,7684,128.066,64.033,0,0,9.23,13.921,40.911,67.284,96.668,105.318,107.262,22.508,ntp_style_clock_synchronization,false
rest-polling_10ms_2cli_rep2_2026-05-31T06-16-50-151Z_scalability-clients_aggregate.json,rest-polling,10,2,2,60,6000,7682,128.034,64.017,0,0,9.3,13.983,40.238,63.127,90.953,101.641,105.199,21.907,ntp_style_clock_synchronization,false
rest-polling_10ms_2cli_rep3_2026-05-31T06-17-52-863Z_scalability-clients_aggregate.json,rest-polling,10,2,3,60,6000,7678,127.966,63.983,0,0,9.364,14.059,41.116,65.183,78.295,106.688,107.602,22.756,ntp_style_clock_synchronization,false
rest-polling_10ms_5cli_rep1_2026-05-31T06-18-55-584Z_scalability-clients_aggregate.json,rest-polling,10,5,1,60,6000,19205,320.085,64.017,0,0,9.675,14.562,53.09,97.574,112.218,106.703,107.375,22.909,ntp_style_clock_synchronization,false
rest-polling_10ms_5cli_rep2_2026-05-31T06-19-58-293Z_scalability-clients_aggregate.json,rest-polling,10,5,2,60,6000,19210,320.165,64.033,0,0,9.691,14.596,45.241,84.023,108.649,106.963,107.805,22.857,ntp_style_clock_synchronization,false
rest-polling_10ms_5cli_rep3_2026-05-31T06-21-01-021Z_scalability-clients_aggregate.json,rest-polling,10,5,3,60,6000,19215,320.25,64.05,0,0,9.617,14.468,46.56,81.509,106.337,107.208,107.898,22.613,ntp_style_clock_synchronization,false
rest-polling_20ms_10cli_rep1_2026-05-31T06-06-22-867Z_scalability-clients_aggregate.json,rest-polling,20,10,1,60,3000,19200,320,32,0,0,15.041,24.672,27.668,59.972,88.005,105.891,106.902,22.239,ntp_style_clock_synchronization,false
rest-polling_20ms_10cli_rep2_2026-05-31T06-07-25-581Z_scalability-clients_aggregate.json,rest-polling,20,10,2,60,3000,19210,320.17,32.017,0,0,15.022,24.688,25.283,61.091,67.098,106.041,106.73,21.522,ntp_style_clock_synchronization,false
rest-polling_20ms_10cli_rep3_2026-05-31T06-08-28-327Z_scalability-clients_aggregate.json,rest-polling,20,10,3,60,3000,19200,320,32,0,0,15.053,24.798,24.139,50.06,68.684,105.974,106.926,21.936,ntp_style_clock_synchronization,false
