arch_label,interval_ms,client_count,throughput_aggregate_msgps_mean,throughput_avg_per_client_msgps_mean,latency_avg_mean_across_clients_ms_mean,latency_p95_worst_client_ms_mean,cpu_avg_percent_mean,cpu_p95_percent_mean,mem_rss_avg_mb_mean,mem_heap_used_avg_mb_mean,fairness_cv_mean,unique_coverage_percent_mean,duplicate_delivery_ratio_mean,throughput_aggregate_msgps_std,throughput_avg_per_client_msgps_std,latency_avg_mean_across_clients_ms_std,latency_p95_worst_client_ms_std,cpu_avg_percent_std,cpu_p95_percent_std,mem_rss_avg_mb_std,mem_heap_used_avg_mb_std,fairness_cv_std,unique_coverage_percent_std,duplicate_delivery_ratio_std,n_reps,throughput_aggregate_type
REST Polling,100,1,9.138666666666666,9.138666666666666,54.42433333333333,99.62266666666666,4.323333333333333,10.513666666666667,84.81266666666666,18.115333333333336,0.0,,,0.00981495457622512,0.00981495457622512,0.5555414775994084,0.31474487022560516,0.538952997332173,1.8340720632879552,11.9806027533398,3.266579607683445,0.0,,,3,polling_responses
REST Polling,100,2,18.27733333333333,9.138666666666666,54.342666666666666,99.66833333333334,4.2250000000000005,9.451333333333332,102.00933333333334,21.412333333333333,0.0,,,0.019629909152448704,0.009814954576224352,0.1956689380901666,0.2889469386121549,0.5531518778780383,2.9025682306077383,1.111684007860748,0.16242639358593566,0.0,,,3,polling_responses
REST Polling,100,5,45.75,9.15,54.62566666666667,99.80133333333333,5.438666666666667,14.606666666666667,98.589,20.39,0.0,,,0.0,0.0,0.14505631090488352,0.49940197570027006,0.4528160038396758,1.4269065608277696,6.310082487574949,1.1961350258227526,0.0,,,3,polling_responses
REST Polling,100,10,91.5,9.15,55.044333333333334,100.62,6.905666666666666,18.432666666666666,104.66566666666667,21.206333333333333,0.0,,,0.0,0.0,0.22738806770218256,0.5841926052253672,0.34583281124458554,0.2838614685605158,0.4608929738381078,0.20618034177227784,0.0,,,3,polling_responses
REST Polling,100,20,182.88666666666666,9.144333333333334,55.901,102.26433333333334,9.985333333333333,22.58666666666667,103.455,21.078333333333333,0.0,,,0.196299091524485,0.009814954576223712,0.20102984853001724,0.4828212229524895,0.8617368121029374,1.9061008192992654,2.835044444096072,0.528566299846419,0.0,,,3,polling_responses
WebSerial,100,1,9.988666666666667,9.988666666666667,3.638,4.473333333333334,,,,,0.0,99.88866666666667,0.0,0.009814954576223327,0.009814954576223327,0.025514701644346226,0.018475208614067977,,,,,0.0,0.09641749495466842,0.0,3,single_client_direct
WebSocket,100,1,10.0,10.0,4.009333333333333,4.865666666666667,4.150666666666667,7.397333333333333,69.296,14.181,0.0,100.0,0.0,0.0,0.0,0.05441813423237966,0.06860272103447024,0.2435083845236816,1.7265660524096185,1.5201812391948555,1.504655774587664,0.0,0.0,0.0,3,broadcast_deliveries
WebSocket,100,2,20.0,10.0,4.000666666666667,4.857333333333333,3.9653333333333336,7.393000000000001,74.96033333333332,16.392333333333333,0.0,100.0,0.5,0.0,0.0,0.03066485501895175,0.016802777548171402,0.5128180314042531,1.726857261038098,1.9785980727104011,2.4592259622355432,0.0,0.0,0.0,3,broadcast_deliveries
WebSocket,100,5,49.98866666666667,9.997666666666667,3.9790000000000005,4.845666666666666,3.672,6.426333333333333,76.71,16.669999999999998,0.00046666666666666666,100.05566666666668,0.7998333333333334,0.019629909152447677,0.004041451884327319,0.017349351572897437,0.017897858344878094,0.5875772289665421,0.24233516734748445,0.26841944787962496,1.513000991407472,0.0008082903768654761,0.09641749495466842,0.0002886751345948452,3,broadcast_deliveries
WebSocket,100,10,100.0,10.0,4.077333333333333,5.035333333333333,4.285,6.401,77.337,16.146333333333335,0.0,100.0,0.9,0.0,0.0,0.008082903768654833,0.014502873278538013,0.11831736981525612,0.001000000000000112,0.1880239346466311,2.8889403478322855,0.0,0.0,0.0,3,broadcast_deliveries
WebSocket,100,20,200.0,10.0,4.256666666666667,5.293333333333334,4.748,7.400333333333333,78.86433333333333,18.361666666666668,0.0,100.0,0.9499999999999998,0.0,0.0,0.07487545214109448,0.09768486747359237,0.11357816691600514,1.729164345379968,0.05499393905998565,1.1387468258279936,0.0,0.0,0.0,3,broadcast_deliveries
