arch_label,interval_ms,throughput_messages_per_second_mean,throughput_percent_mean,loss_rate_percent_mean,invalid_messages_mean,latency_avg_ms_mean,latency_std_ms_mean,latency_p95_ms_mean,latency_median_ms_mean,expected_messages_mean,received_messages_mean,throughput_messages_per_second_std,throughput_percent_std,loss_rate_percent_std,invalid_messages_std,latency_avg_ms_std,latency_std_ms_std,latency_p95_ms_std,latency_median_ms_std,expected_messages_std,received_messages_std,n_reps
REST Polling,50,15.894333333333334,79.47233333333334,20.527666666666665,0.0,29.073666666666668,14.476666666666667,51.776666666666664,29.137,1200.0,953.6666666666666,0.00981495457622448,0.04792007234273699,0.04792007234273776,0.0,0.42081983476700824,0.039374272480050536,0.4448284313455424,0.16029036153181458,0.0,0.577350269189634,3
REST Polling,100,9.077666666666667,90.77766666666666,9.222333333333333,0.0,53.99133333333333,28.927333333333333,98.524,54.123333333333335,600.0,544.6666666666666,0.009237604307034276,0.09584014468547399,0.0958401446854781,0.0,0.3781538487617614,0.1099515044614363,0.6144298169848187,0.42803777091903233,0.0,0.5773502691896093,3
WebSerial,50,20.0,100.0,0.0,0.0,3.5829999999999997,0.5956666666666667,4.493333333333333,3.5766666666666667,1200.0,1200.0,0.0,0.0,0.0,0.0,0.014106735979666109,0.009609023536933036,0.01553490693030851,0.011718930554164387,0.0,0.0,3
WebSerial,100,10.0,100.0,0.0,0.0,3.662333333333333,0.5953333333333334,4.511333333333333,3.704,600.0,600.0,0.0,0.0,0.0,0.0,0.019857828011475284,0.030924639582917284,0.0011547005383791243,0.02821347195933172,0.0,0.0,3
WebSocket,50,20.011333333333333,100.05533333333334,0.0,0.0,3.9973333333333336,0.5599999999999999,4.839333333333333,3.980333333333333,1200.0,1200.6666666666667,0.009814954576223327,0.047920072342740073,0.0,0.0,0.07681362726322286,0.02685144316419507,0.06408067831517816,0.08033886564629414,0.0,0.5773502691896586,3
WebSocket,100,10.0,100.0,0.0,0.0,4.091,0.5743333333333333,4.897666666666667,4.108,600.0,600.0,0.0,0.0,0.0,0.0,0.05737595315112373,0.05662449411105878,0.09166424239218524,0.05556977595779943,0.0,0.0,3
