source_file,experiment_id,architecture,communication_mode,source,started_at,stopped_at,interval_ms,duration_seconds,expected_messages,received_messages,missing_messages,sequence_gap_messages,throughput_percent,messages_per_second,estimated_latency_avg_ms,estimated_latency_min_ms,estimated_latency_max_ms,estimated_latency_std_ms,estimated_latency_p95_ms,uncertainty_avg_ms,uncertainty_p95_ms,uncertainty_max_ms,invalid_messages,application_version,replication_number,environment,saturation_indicators,saturation_status
backend-node_rest-polling_serial_1ms_rep1_2026-05-30T04-16-07-494Z_campaign-summary.csv,exp-2026-05-30T04-11-02-422Z,backend-node,rest-polling,serial,2026-05-30T04:11:02.422Z,2026-05-30T04:12:02.478Z,50,60,1200,961,239,239,80.083,16.002,29.313,3.853,55.162,14.477,51.871,2.584,2.584,2.584,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:11:02.423Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=50,throughput_below_95 | message_loss_detected,A partir de 50 ms o throughput caiu abaixo de 95%. | A partir de 50 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep1_2026-05-30T04-16-07-494Z_campaign-summary.csv,exp-2026-05-30T04-12-03-659Z,backend-node,rest-polling,serial,2026-05-30T04:12:03.659Z,2026-05-30T04:13:03.676Z,20,60,3000,1924,1076,1074,64.133,32.058,14.502,3.725,25.085,5.832,23.633,2.574,2.574,2.574,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:12:03.660Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=20,throughput_below_95 | message_loss_detected,A partir de 20 ms o throughput caiu abaixo de 95%. | A partir de 20 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep1_2026-05-30T04-16-07-494Z_campaign-summary.csv,exp-2026-05-30T04-13-04-893Z,backend-node,rest-polling,serial,2026-05-30T04:13:04.893Z,2026-05-30T04:14:04.900Z,10,60,6000,3849,2151,2149,64.15,64.143,9.298,3.467,15.324,2.965,13.832,2.493,2.493,2.493,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:13:04.893Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=10,throughput_below_95 | message_loss_detected,A partir de 10 ms o throughput caiu abaixo de 95%. | A partir de 10 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep1_2026-05-30T04-16-07-494Z_campaign-summary.csv,exp-2026-05-30T04-14-06-118Z,backend-node,rest-polling,serial,2026-05-30T04:14:06.118Z,2026-05-30T04:15:06.128Z,5,60,12000,3839,8161,8153,31.992,63.973,6.802,3.481,13.193,1.57,9.301,2.591,2.591,2.591,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:14:06.119Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=5,throughput_below_95 | message_loss_detected,A partir de 5 ms o throughput caiu abaixo de 95%. | A partir de 5 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep1_2026-05-30T04-16-07-494Z_campaign-summary.csv,exp-2026-05-30T04-15-07-357Z,backend-node,rest-polling,serial,2026-05-30T04:15:07.357Z,2026-05-30T04:16:07.367Z,1,60,60000,4286,55714,11755,7.143,71.421,10.61,6.16,13.711,1.247,12.669,2.595,2.595,2.595,0,0.1.0,1,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:15:07.359Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=1,throughput_below_95 | message_loss_detected,A partir de 1 ms o throughput caiu abaixo de 95%. | A partir de 1 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep2_2026-05-30T04-22-14-882Z_campaign-summary.csv,exp-2026-05-30T04-16-08-683Z,backend-node,rest-polling,serial,2026-05-30T04:16:08.683Z,2026-05-30T04:17:08.713Z,100,60,600,549,51,50,91.5,9.145,54.642,4.177,104.306,29.045,99.723,2.707,2.707,2.707,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:16:08.684Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=100,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep2_2026-05-30T04-22-14-882Z_campaign-summary.csv,exp-2026-05-30T04-17-09-883Z,backend-node,rest-polling,serial,2026-05-30T04:17:09.883Z,2026-05-30T04:18:09.891Z,50,60,1200,961,239,237,80.083,16.015,30.113,3.971,64.251,14.445,52.301,2.543,2.543,2.543,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:17:09.884Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=50,throughput_below_95 | message_loss_detected,A partir de 50 ms o throughput caiu abaixo de 95%. | A partir de 50 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep2_2026-05-30T04-22-14-882Z_campaign-summary.csv,exp-2026-05-30T04-18-11-088Z,backend-node,rest-polling,serial,2026-05-30T04:18:11.088Z,2026-05-30T04:19:11.091Z,20,60,3000,1922,1078,1075,64.067,32.032,14.299,3.607,29.18,5.834,23.376,2.534,2.534,2.534,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:18:11.090Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=20,throughput_below_95 | message_loss_detected,A partir de 20 ms o throughput caiu abaixo de 95%. | A partir de 20 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep2_2026-05-30T04-22-14-882Z_campaign-summary.csv,exp-2026-05-30T04-19-12-292Z,backend-node,rest-polling,serial,2026-05-30T04:19:12.292Z,2026-05-30T04:20:12.295Z,10,60,6000,3845,2155,2152,64.083,64.08,9.342,3.53,16.688,2.957,13.888,2.535,2.535,2.535,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:19:12.293Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=10,throughput_below_95 | message_loss_detected,A partir de 10 ms o throughput caiu abaixo de 95%. | A partir de 10 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep2_2026-05-30T04-22-14-882Z_campaign-summary.csv,exp-2026-05-30T04-20-13-543Z,backend-node,rest-polling,serial,2026-05-30T04:20:13.543Z,2026-05-30T04:21:13.545Z,5,60,12000,3852,8148,8139,32.1,64.198,6.778,3.426,10.128,1.55,9.247,2.538,2.538,2.538,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:20:13.544Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=5,throughput_below_95 | message_loss_detected,A partir de 5 ms o throughput caiu abaixo de 95%. | A partir de 5 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep2_2026-05-30T04-22-14-882Z_campaign-summary.csv,exp-2026-05-30T04-21-14-775Z,backend-node,rest-polling,serial,2026-05-30T04:21:14.775Z,2026-05-30T04:22:14.779Z,1,60,60000,4176,55824,11862,6.96,69.595,10.637,5.607,13.616,1.24,12.649,2.506,2.506,2.506,0,0.1.0,2,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:21:14.777Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=1,throughput_below_95 | message_loss_detected,A partir de 1 ms o throughput caiu abaixo de 95%. | A partir de 1 ms foram detectadas perdas de mensagens.
backend-node_rest-polling_serial_1ms_rep3_2026-05-30T04-28-22-420Z_campaign-summary.csv,exp-2026-05-30T04-22-16-086Z,backend-node,rest-polling,serial,2026-05-30T04:22:16.086Z,2026-05-30T04:23:16.162Z,100,60,600,549,51,51,91.5,9.138,54.562,4.238,105.017,28.871,99.621,2.516,2.516,2.516,0,0.1.0,3,browser=node/22.15.0; platform=win32-x64; language=en_US.UTF-8; applicationVersion=0.1.0; capturedAt=2026-05-30T04:22:16.087Z; runner=automated-orchestrator; architecture=backend-node; communicationMode=rest-polling; source=serial; intervalMs=100,throughput_below_95 | message_loss_detected,A partir de 100 ms o throughput caiu abaixo de 95%. | A partir de 100 ms foram detectadas perdas de mensagens.
